Dentist Bird,Binary,Content is NOT Randomized,App is of academic value,App provides an instruction page,"App has text, video, and audio options that can be turned on/off",Apps capabilities are not unique,The App's literary quality is evident,The app has high store ratings (greater than half the number of stars possible),does not allow students to communicate,does not allow students to connect,Allows students to contextualize,does not allow students to critique,"""The app allows users to control the rate at which they move through the app’s content.""",App has a good balance of features,App is designed for joint interaction,Apps is gender neutral,App targets speech/language skills or could easily be adapted to taraget those skills,The app is sensitive of multiple cultures,"The app allows users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.",User information and or data is stored responsibly/kept private and is non-identifying,App has little to no issues and is reliable,Performs and loads quickly.,There are No In-App Purchases,user can not save progress,User will likely only use app a few times,App contains ads,App is not free,Information is factual and reliable,"Multiple versions of instructions such as text video, and audio are included.",App does not offer oportunities to exercise creativity and imagination,Skill(s) reinforced in the app are not clearly connected to the targeted skill or concept,App offers no flexibility to meet student needs,App provides feedback,"App facilitates the use of thinking skills including evaluating, analyzing, applying,  understanding, and remembering",Students can launch and navigate within the app independently,This kept me motivated and engaged.,App has no ability to share or forward data,Targeted skills are practiced in an authentic format/ problem-based learning environment,The app’s content for specific grade-levels is matched appropriately for its target audience. Skills are practiced in a rote or isolated fashion (e.g. flashcards),App does not promote collaboration,Users can move through the app’s content and options fluidly.,App provides a usefull support page,App does NOT have built-in assessment features; ability to track progress & report on that progress,The app’s graphics and interface will most likely motivate users to engage it.,The music/sound in the app adds to the user expierence,"The app’s text, graphics, videos, sound, and speech are organized in a way that complements the app’s content.",There is no research base for this app,The app does NOT allow users control related to the level at which they begin engaging its content.,App does not update even to fix bugs,Easy to learn and direction can be followed.,App only accomodates english speakers,App expands digital library resources,The app is functional as is (no item(s) need to be installed/purchased to use app),does not allow students to create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentist Bird,Three Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,App can be played once; same content repeated,App is very academic; supports serious learning,App provides a basic instruction page,"App has complex text, video, and audio options that can be turned on/off (sharing etc.)",Apps capabilities are not unique,The app is of a superior literary quality,The source/vendor of the App has received high-level reviews.,does not allow students to communicate,1,provides minimal context for activities,does not allow students to critique,The app allows users to control the rate at which they move through the app’s content.,App has a fairly good balance of features,App is made for joint interaction,Apps is gender neutral,App targets speech/language skills,"The app allows users to explore or makes references to cultures from across the globe using authentic pictures, images, and/or texts.","The app allows users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.",User information and or data is stored responsibly/kept private and is non-identifying,App has little to no issues and is reliable,performs and loads quickly,There Are No In-App Purchases,"After exiting an app, users can reopen it and manually select the content they were last engaging when they logged off, but the content may be different.",User will use this app infrequently,No advertising is present.,App's price is less than $5.00,"Information is error-free, factual, and reliable","""Multiple versions of instructions such as text video, and audio, are often provided",App does not offer oportunities to exercise creativity and imagination,Skill(s) reinforced are strongly connected to the targeted skill or concept,App offers no flexibility to meet student needs,no feedback provided,no thinking skills required. App can be used by randomly hitting buttons with no reason behind actions.,Students can launch and navigate within the app independently,This kept me motivated and engaged.,App has no ability to share or forward data,Some aspects of the app are presented in an authentic learning environment,The app’s content for specific grade-levels is always matched appropriately for its target audience.,App does not promote collaboration,Users can move through the app’s content and options fluidly.,App provides a useful support page,App does not record or track student data,The app’s graphics and interface will most likely motivate users to engage it.,The music/sound in the app adds to the user experience,"The app’s text, graphics, videos, sound, and speech are organized in a way that complements the app’s content.",There is no research base for this app,The app allows users no control related to the level at which they begin engaging its content.,App does not update even to fix bugs,Easy to learn and direction can be followed.,App only accomodates english speakers,App moderately expands organization's digital resources,The app has substantial functionality as is,does not allow students to create content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentist Bird,Four Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,content is not randomized; each expierence with the app is the same,App is somewhat academic; supports learning but has some elements without accedemic value,App provides a basic instruction page,"app has basic media controls (pause, volume, etc.)",Apps capabilities are not unique,The app is of a superior literary quality,All reviews of app are positive,does not allow students to communicate,1,provides minimal context for activities,does not allow students to critique,The app allows users to control the rate at which they move through the app’s content.,The app has a good balence of features,Child-only,Apps is completely gender neutral,App does not target speech/language skills but could be easily adapted to target those skills,"The app allows users to explore or makes references to cultures from across the globe using authentic pictures, images, and/or texts, or direct interactions with culturally diverse individuals","The app occasionally requires users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.",User information and or data is stored responsibly/kept private and is non-identifying,No issues and very reliable,Performs and loads quickly.,There Are No In-App Purchases,"After exiting an app, users can reopen it and manually select the content they were last engaging when they logged off, but the content may be different.",User will use this app many times before becoming bored,No advertising is present.,App's price is less than $5.00,"Information is error-free, factual, and reliable","Multiple versions of instructions such as text video, and audio, are frequently provided",App does not offer oportunities to exercise creativity and imagination,Skill(s) reinforced are strongly connected to the targeted skill or concept,App offers no flexibility to meet student needs,no feedback provided,no thinking skills required. App can be used by randomly hitting buttons with no reason behind actions.,Students can launch and navigate within the app independently,This kept me motivated and engaged.,App has no ability to share or forward data,Targeted skills are practiced in an authentic format/ problem-based learning environment,The app’s content for specific grade-levels is always matched appropriately for its target audience.,App does not promote collaboration,Users can move through the app’s content and options fluidly.,App does not provide a support page,App does not record or track student data,The app’s graphics and interface will most likely motivate users to engage it.,The music/sound in the app usually adds to the user expierence,"The app’s text, graphics, videos, sound, and speech are organized in a way that complements the app’s content.",There is no research base for this app,The app allows users no control related to the level at which they begin engaging its content.,App does not update even to fix bugs,Easy to learn and direction can be followed.,App only accomodates english speakers,App moderately expands organization's digital resources,The app has complete fuctionality as is (nothing additional needs to be  installed/purchased),does not allow students to create content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentist Bird,Five Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,content is not randomized; each expierence with the app is the same,App is somewhat academic; supports learning but has some elements without accedemic value,App provides a basic walkthrough,"app has basic media controls (pause, volume, etc.)",Apps capabilities are not unique,The app is of a significant literary quality,All reviews of app are excelent,does not allow students to communicate,1,does not allow students to contextualize,does not allow students to critique,The app allows users to mostly control the rate at which they move through the app’s content.,App has a fairly good balance of features,App encourages joint interaction in most  instances,App is completely gender neutral,App targets speech/language skills to some degree,"The app allows users to explore diverse cultures from across the globe using authentic pictures, images, and/or texts.","The app often requires users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.",All user information and or data is stored responsibly/kept private and is non-identifying,No issues and very reliable,Performs and loads quickly.,There Are No In-App Purchases,"After exiting an app, users can reopen it and manually select the content they were last engaging when they logged off, but the content may be different.",User will likely only use app a few times,No advertising is present.,App's price is less than $5.00,"Information is error-free, factual, and reliable","Multiple versions of instructions such as text video, and audio, are frequently provided",App offers a few oportunities to exercise creativity and imagination,Skill(s) reinforced are frequently connected to the targeted skill or concept,App offers no flexibility to meet student needs,no feedback provided,no thinking skills required. App can be used by randomly hitting buttons with no reason behind actions.,Students can launch and navigate within the app independently,This app kept me highly motivated and engaged throughout my time with it.,App has no ability to share or forward data,Most aspects of the app are presented in an authentic learning environment,The app’s content for specific grade-levels is usually matched appropriately for its target audience.,App does not promote collaboration,Users can move through the app’s content and options fluidly.,App provides a support page that is mostly usefull,App does not record or track student data,The app’s graphics and interface will most likely motivate users to engage it.,The music/sound in the app always adds to the user expierence,"The app’s text, graphics, videos, sound, and speech are organized in a way that enhances the app’s content.",There is no research base for this app,The app allows users no control related to the level at which they begin engaging its content.,App does not update even to fix bugs,Easy to learn and direction can be followed.,App only accomodates english speakers,App moderately expands organization's digital resources,The app has complete fuctionality as is (nothing additional needs to be  installed/purchased),does not allow students to create content
Kids Preschool Puzzles (Lite),Binary,Content is NOT Randomized,App is of academic value,App does not provide an instruction page,"App has text, video, and audio options that can be turned on/off",Apps capabilities are not unique,The app is not of literary quality,The app has high store ratings (greater than half the number of stars possible),does not allow students to communicate,does not allow students to connect,does not allow students to contextualize,does not allow students to critique,"""The app allows users to control the rate at which they move through the app’s content.""",App has a good balance of features,App is designed for child-only interaction,Apps is gender neutral,App targets speech/language skills or could easily be adapted to taraget those skills,The app is sensitive of multiple cultures,"The app allows users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.",User information and or data is stored responsibly/kept private and is non-identifying,App has little to no issues and is reliable,Performs and loads quickly.,There are No In-App Purchases,user can not save progress,User will likely only use app a few times,App contains ads,App is free,Information is factual and reliable,"Multiple versions of instructions such as text video, and audio are NOT included",App does not offer oportunities to exercise creativity and imagination,Skill(s) reinforced in the app are not clearly connected to the targeted skill or concept,App offers no flexibility to meet student needs,App provides feedback,no thinking skills required. App can be used by randomly hitting buttons with no reason behind actions.,Students can launch and navigate within the app independently,This kept me motivated and engaged.,App has no ability to share or forward data,Targeted skills are practiced in an authentic format/ problem-based learning environment,The app’s content for specific grade-levels is matched appropriately for its target audience.,App does not promote collaboration,Users can move through the app’s content and options fluidly.,App does no prove a support page or the support page it provides is completely unhelpful,App does NOT have built-in assessment features; ability to track progress & report on that progress,The app’s graphics and interface will most likely motivate users to engage it.,The music/sound in the app adds to the user expierence,"The app’s text, graphics, videos, sound, and speech are organized in a way that complements the app’s content.",There is no research base for this app,The app does NOT allow users control related to the level at which they begin engaging its content.,"""App provides necessary updates",Easy to learn and direction can be followed.,App only accomodates english speakers,App expands digital library resources,The app has item(s) need to be installed/purchased to use app,does not allow students to create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids Preschool Puzzles (Lite),Three Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,App can be played once; same content repeated,App isn’t academic but has some learning value,App does not provide an instruction page,"app has basic media controls (pause, volume, etc.)",App provides some uncommon and useful capabilities,The app is not of literary quality,The source/vendor of the App has received high-level reviews.,does not allow students to communicate,1,does not allow students to contextualize,does not allow students to critique,The app allows users to control the rate at which they move through the app’s content.,App could use a few more or less features,Child-only,Apps is gender neutral,App targets speech/language skills,The app is culturally neutral,"The app allows users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.",User information and or data is stored responsibly/kept private and is non-identifying,App has little to no issues and is reliable,performs and loads quickly,"There are in-app purchases, but they are not necessary for use of app","After exiting an app, users must begin on the first level when returning to the app.",User will likely only use app a few times,"There is some in-app advertising, but this does not prevent proper usage of app",App is free,"Information is error-free, factual, and reliable","""Multiple versions of instructions such as text video, and audio, are not provided",App does not offer oportunities to exercise creativity and imagination,Skill(s) reinforced in the app are not clearly connected to the targeted skill or concept,App offers no flexibility to meet student needs,App provides basic feedback,no thinking skills required. App can be used by randomly hitting buttons with no reason behind actions.,Students can launch and navigate within the app independently,This kept me motivated and engaged.,App has no ability to share or forward data,Some aspects of the app are presented in an authentic learning environment,The app’s content for specific grade-levels is always matched appropriately for its target audience.,App does not promote collaboration,Users need to put forth some effort to move through the app’s content and options.,App does no prove a support page,App does not record or track student data,The app’s graphics and interface will most likely motivate users to engage it.,The music/sound in the app adds to the user experience,"The app’s text, graphics, videos, sound, and speech are organized in a way that complements the app’s content.",There is no research base for this app,The app allows users no control related to the level at which they begin engaging its content.,"App updates infrequently, and then only to fix bugs",Easy to learn and direction can be followed.,App only accomodates english speakers,App moderately expands organization's digital resources,The app has very limited functionality but is still useable,does not allow students to create content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids Preschool Puzzles (Lite),Four Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,content is not randomized; each expierence with the app is the same,App isn’t academic but has some learning value,App does not provide an instruction page,"app has basic media controls (pause, volume, etc.)",App provides some uncommon capabilities,The app is not of literary quality,Most of the reviews of the app are positive,does not allow students to communicate,1,does not allow students to contextualize,does not allow students to critique,The app allows users to control the rate at which they move through the app’s content.,App's features are mostly unbalenced,Child-only,Apps is completely gender neutral,App targets speech/language skills,The app makes general references to one or more cultures.,"The app frequently requires users to engage itscontent by making decisions, answering questions, or actively engaging it in some other manner.",User information and or data is stored responsibly/kept private and is non-identifying,No issues and very reliable,Performs and loads quickly.,"There are in-app purchases, but they are not necessary for use of app","After exiting an app, users must begin on the first level when returning to the app.",User will use this app infrequently,Advertising sometimes impedes app usage and is irrelevant to app.,App is free,"Information is error-free, factual, and reliable","Multiple versions of instructions such as text video, and audio, are not provided",App does not offer oportunities to exercise creativity and imagination,Skill(s) reinforced in the app are not clearly connected to the targeted skill or concept,App offers no flexibility to meet student needs,provides learner feedback with tolerance for errors. Basic feedback is offered to learner.,no thinking skills required. App can be used by randomly hitting buttons with no reason behind actions.,Students can launch and navigate within the app independently,"Somewhat engaging, but lost motivation after a short time.",App has no ability to share or forward data,Some aspects of the app are presented in an authentic learning environment,The app’s content for specific grade-levels is always matched appropriately for its target audience.,App does not promote collaboration,Users can move through the app’s content and options fluidly.,App does not provide a support page,App does not record or track student data,The app’s graphics and interface will most likely motivate users to engage it.,The music/sound in the app usually adds to the user expierence,"The app’s text, graphics, videos, sound, and speech are organized in a way that complements the app’s content.",There is no research base for this app,The app allows users no control related to the level at which they begin engaging its content.,"App updates infrequently, and then only to fix bugs",Very easy to learn and directions are clear and simple to follow,App only accomodates english speakers,App slightly expands organization's digital resources,The app has very limited functionality but is still useable,does not allow students to create content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids Preschool Puzzles (Lite),Five Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,content is not randomized; each expierence with the app is the same,App has limited academic value,App does not provide an instruction page,"app has basic media controls (pause, volume, etc.)",App provides some uncommon capabilities,The app is not of literary quality,The majority of the reviews of this app are positive,does not allow students to communicate,1,does not allow students to contextualize,does not allow students to critique,The app allows users to completely control the rate at which they move through the app’s content.,App's features are mostly unbalanced,Child-only,App is completely gender neutral,App targets speech/language skills to some degree,The app makes general references to one or more cultures.,"The app frequently requires users to engage itscontent by making decisions, answering questions, or actively engaging it in some other manner.",All user information and or data is stored responsibly/kept private and is non-identifying,No issues and very reliable,Performs and loads quickly.,"There are In-App Purchases, but they are not necessary and are child locked","After exiting an app, users must begin on the first level when returning to the app.",User will use this app infrequently,Advertising sometimes impedes app usage and is irrelevant to app.,App is free,"Information is error-free, factual, and reliable","Multiple versions of instructions such as text video, and audio, are not provided",App does not offer oportunities to exercise creativity and imagination,Skill(s) reinforced in the app are not clearly connected to the targeted skill or concept,App offers no flexibility to meet student needs,Learner feedback is not immediate or adequate,no thinking skills required. App can be used by randomly hitting buttons with no reason behind actions.,Students can launch and navigate within the app independently,This kept me motivated and engaged most of the time.,App has no ability to share or forward data,Some aspects of the app are presented in an authentic learning environment,The app’s content for specific grade-levels is always matched appropriately for its target audience.,App does not promote collaboration,Users can move through the app’s content and options fluidly.,App does no prove a support page,App does not record or track student data,The app’s graphics and interface will most likely motivate users to engage it.,The music/sound in the app always adds to the user expierence,"The app’s text, graphics, videos, sound, and speech are organized in a way that enhances the app’s content.",There is no research base for this app,The app allows users no control related to the level at which they begin engaging its content.,App updates frequently with bug fixes,Very easy to learn and directions are clear and simple to follow,App only accomodates english speakers,App slightly expands organization's digital resources,The app has somewhat limited functionality,does not allow students to create content
Sight Words Flash Cards,Binary,Content is NOT Randomized,App is of academic value,App does not provide an instruction page,"App has text, video, and audio options that can be turned on/off",Apps capabilities are not unique,The app is not of literary quality,The app has high store ratings (greater than half the number of stars possible),does not allow students to communicate,does not allow students to connect,does not allow students to contextualize,does not allow students to critique,"""The app allows users to control the rate at which they move through the app’s content.""",App has a good balance of features,App is designed for child-only interaction,Apps is gender neutral,App targets speech/language skills or could easily be adapted to taraget those skills,The app is sensitive of multiple cultures,"The app allows users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.",User information and or data is stored responsibly/kept private and is non-identifying,App has techincal issues/ bugs that get in the way of learning,Loads and performs slowly,There are No In-App Purchases,user can not save progress,App provides appeal over longer perior of time,App contains ads,App is free,Information is factual and reliable,"Multiple versions of instructions such as text video, and audio are NOT included",App does not offer oportunities to exercise creativity and imagination,Skill(s) reinforced are strongly connected to the targeted skill or concept,App offers flexibility to alter content and settings to meet student needs,No feedback provided,"App facilitates the use of thinking skills including evaluating, analyzing, applying,  understanding, and remembering",Students can launch and navigate within the app independently,This kept me motivated and engaged.,App has no ability to share or forward data,Skills are practiced in a rote or isolated fashion (e.g. flashcards),The app’s content for specific grade-levels is matched appropriately for its target audience.,App does not promote collaboration,Users can move through the app’s content and options fluidly.,App does no prove a support page or the support page it provides is completely unhelpful,App does NOT have built-in assessment features; ability to track progress & report on that progress,The app’s graphics and interface will most likely motivate users to engage it.,The music/sound in the app adds to the user expierence,"The app’s text, graphics, videos, sound, and speech are organized in a way that complements the app’s content.",There is no research base for this app,The app allows users control related to the level at which they begin engaging its content.,"""App provides necessary updates",Easy to learn and direction can be followed.,App only accomodates english speakers,App expands digital library resources,The app is functional as is (no item(s) need to be installed/purchased to use app),does not allow students to create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sight Words Flash Cards,Three Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,App has several levels; Students will recognize game after play,App is very academic; supports serious learning,App does not provide an instruction page,"app has basic media controls (pause, volume, etc.)",Apps capabilities are not unique,The app is not of literary quality,The source/vendor of the App has received high-level reviews.,does not allow students to communicate,1,does not allow students to contextualize,does not allow students to critique,The app allows users to control the rate at which they move through the app’s content.,App has a fairly good balance of features,Child-only,Apps is gender neutral,App targets speech/language skills,The app is culturally neutral,"The app allows users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.",User information and or data is stored responsibly/kept private and is non-identifying,App has techinal issues and does not work correctly,performs and loads quickly,"There are in-app purchases, but they are not necessary for use of app","After exiting an app, users must begin on the first level when returning to the app.",App provides appeal over long/unending period of time,"There is some in-app advertising, but this does not prevent proper usage of app",App is free,"Information is error-free, factual, and reliable","""Multiple versions of instructions such as text video, and audio, are not provided",App does not offer oportunities to exercise creativity and imagination,Skill(s) reinforced are strongly connected to the targeted skill or concept,App offers a high level flexibility to alter content and settings to meet student needs,no feedback provided,App is limited to the use of lower order thinking skills like understanding and remembering,Students can launch and navigate within the app independently,lost motivation after a short time.,App has no ability to share or forward data,Skills are practiced in a rote or isolated fashion (e.g. flashcards),The app’s content for specific grade-levels is always matched appropriately for its target audience.,App does not promote collaboration,Users can move through the app’s content and options fluidly.,App does no prove a support page,App does not record or track student data,The app’s graphics and interface will likely have no impact on whether or not users are motivated to engage it.,The music/sound in the app adds to the user experience,"The app’s text, graphics, videos, sound, and speech are organized in a way that does not enhance or detract from the app’s content.",There is no research base for this app,The app allows users significant control related to the level at which they begin engaging its content.,"App updates frequently, and rolls out new and improved content",Easy to learn and direction can be followed.,App only accomodates english speakers,App moderately expands organization's digital resources,The app has substantial functionality as is,does not allow students to create content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
