content is always randomized; every game is new,content is mostly randomized; app rarely follows a previous progression through content,content is partially randomized; there are repeats but they do not get in the way of learning,content is minimally randomized; repeats matterial too often,content is not randomized; each expierence with the app is the same
,Content is randomized; every game is new,content is partially randomized; there are repeats but they do not get in the way of learning,content is minimally randomized; repeats matterial too often,content is not randomized; each expierence with the app is the same
,,Content is randomized; every game is new,App has several levels; Students will recognize game after play,App can be played once; same content repeated
,,,content is randomized,content is not randomized
,,,,
,,,,
App is very academic; supports serious learning,App is somewhat academic; supports learning but has some elements without accedemic value,App isn’t academic but has some learning value,App has limited academic value,app has no academic value
,App is very academic; supports serious learning,App is somewhat academic; supports learning but has some elements without accedemic value,App isn’t academic but has some learning value,app has little to no accdemic value
,,App is very academic; supports serious learning,App isn’t academic but has some learning value,app has little to no accdemic value
,,, app is of academic value,app has little to no accdemic value
,,,,
,,,,
App provides detailed step by step instructions,App provides a basic walkthrough,App provides a detailed instruction page,App provides a basic instruction page,App does not provide an instruction page
,App provides detailed step by step instructions,App provides a basic walkthrough,App provides a basic instruction page,App does not provide an instruction page
,,App provides detailed step by step instructions,App provides a basic instruction page,App does not provide an instruction page
,,,App provides an instruction page,App does not provide an instruction page
,,,,
,,,,
"App has complex text, video, and audio options that can be turned on/off (sharing etc.)",App has a significant amount of control over media,"app has a moderate amount of control over media (replay, ff and rewind, eq)","app has basic media controls (pause, volume, etc.)","text, video, and audio options can not be changed "
,"App has complex text, video, and audio options that can be turned on/off (sharing etc.)","app has a moderate amount of control over media (replay, ff and rewind, eq)","app has basic media controls (pause, volume, etc.)","text, video, and audio options can not be changed "
,,"App has complex text, video, and audio options that can be turned on/off (sharing etc.)","app has basic media controls (pause, volume, etc.)","text, video, and audio options can not be changed "
,,,"App has complex text, video, and audio options that can be turned on/off (sharing etc.)","text, video, and audio options can not be changed "
,,,,
,,,,
App provides unique capabilities not readily available via other platforms,App provides uncommon capabilities that are very beneficial,App provides some uncommon and useful capabilities,App provides some uncommon capabilities,Apps capabilities are not unique
,App provides unique capabilities not readily available via other platforms,App provides some uncommon and useful capabilities,App provides some uncommon capabilities,Apps capabilities are not unique
,,App provides unique capabilities not readily available via other platforms ,App provides some uncommon and useful capabilities,Apps capabilities are not unique
,,,App provides unique capabilities not readily available via other platforms,Apps capabilities are not unique
,,,,
,,,,
The app is of a superior literary quality,The app is of a significant literary quality,The app is of a moderate literary quality,The App's literary quality is evident,The app is not of literary quality
,The app is of a superior literary quality,The app is of a moderate literary quality,The App's literary quality is evident,The app is not of literary quality
,,The app is of a superior literary quality,The App's literary quality is evident,The app is not of literary quality
,,,The App's literary quality is evident,The app is not of literary quality
,,,,
,,,,
Which level(s) of Bloom’s Taxonomy can this app support?,,,,
,,,,
,,,,
All reviews of app are excelent,The majority of the reviews of this app are positive,The source/vendor of the App has received mixed levels reviews.,The app has recived mostly negative reviews,The app has recieved only negative reviews
,All reviews of app are positive,Most of the reviews of the app are positive,The source/vendor of the App has received mixed levels reviews.,The app has recived mostly negative reviews
,,The source/vendor of the App has received high-level reviews.,The source/vendor of the App has received mixed levels reviews.,The source/vendor of the App has received low or negative reviews.
,,,The app has high store ratings (greater than half the number of stars possible),the app has low store ratings 
,,,,
,,,,
"allows advanced communication (chat, video messaging etc.)","Allows multiple types of communication (chat, voice, etc.)",Allows moderate communication (i.e: photo sharing),Allows basic communication (i.e: chat),does not allow students to communicate
,allows advanced communication (video messaging etc.),Allows moderate communication (i.e: photo sharing),Allows basic communication (i.e: chat),does not allow students to communicate
,,"allows advanced communication (chat, video messaging etc.)",Allows basic communication (i.e: chat),does not allow students to communicate
,,,allows students to communicate,does not allow students to communicate
,,,,
,,,,
Allows students to connect 1 - 5,,,,
,Allows students to connect 1 - 4,,,
,,Allows students to connect 1 - 3,,
,,,Allows students to connect,does not allow students to connect
,,,,
,,,,
Provides extensive context for the learning tasks,"provides a fair amount of context, enhances the learning experience",provides some basic context for learning tasks,provides minimal context for activities,does not allow students to contextualize
,Provides extensive context for the learning tasks,provides some basic context for learning tasks,provides minimal context for activities,does not allow students to contextualize
,,Provides extensive context for the learning tasks,provides minimal context for activities,does not allow students to contextualize
,,,Allows students to contextualize,does not allow students to contextualize
,,,,
,,,,
Allows extensive and comprehensive feedback from students,students can give feedback and critique most aspects of the app,students can give feedback and critique some aspects of the app,Allows students to provide minimal feedback,does not allow students to critique
,Allows extensive and comprehensive feedback from students,students can give feedback and critique most aspects of the app,Allows students to provide minimal feedback,does not allow students to critique
,,Allows extensive and comprehensive feedback from students,Allows students to provide minimal feedback,does not allow students to critique
,,,Allows students to critique,does not allow students to critique
,,,,
,,,,
The app allows users to completely control the rate at which they move through the app’s content.,The app allows users to mostly control the rate at which they move through the app’s content.,"The app does not allow users to control the rate at which they move through the app’s content, but the content is presented at an appropriate rate for its target audience.","The app does not allow users to control the rate at which they move through the app’s content, but the content is presented at a mostly appropriate rate for its target audience.","The app does not allow users to control the rate at which they move through the app’s content, and the content is presented at an inappropriate rate for its target audience."
,The app allows users to control the rate at which they move through the app’s content.,"The app does not allow users to control the rate at which they move through the app’s content, but the content is presented at an appropriate rate for its target audience.","The app does not allow users to control the rate at which they move through the app’s content, but the content is presented at a mostly appropriate rate for its target audience.","The app does not allow users to control the rate at which they move through the app’s content, and the content is presented at an inappropriate rate for its target audience."
,,The app allows users to control the rate at which they move through the app’s content.,"The app does not allow users to control the rate at which they move through the app’s content, but the content is presented at an appropriate rate for its target audience.","The app does not allow users to control the rate at which they move through the app’s content, and the content is presented at an inappropriate rate for its target audience."
,,,"The app allows users to
control the rate at
which they move through
the app’s content.",The app does not allow users to control the rate at which they move through the app’s content.
,,,,
,,,,
App has an excelent balance of features,App has a fairly good balance of features,App could use a few more or less features ,App's features are mostly unbalence,App's feataures are completely unbalanced 
,The app has a good balence of features,App could use a few more or less features ,App's features are mostly unbalenced,App's feataures are completely unbalanced 
,,App has a fairly good balance of features,App could use a few more or less features ,App's features are unbalenced
,,,App has a good balence of features,App's features are unbalenced
,,,,
,,,,
App is made for joint interaction,App encourages joint interaction in most  instances,Parents will probably have to get involved,it is unlikely that parents will get involved,Child-only 
,App is made for joint interaction,Parents will probably have to get involved,it is unlikely that parents will get involved,Child-only 
,,App is made for joint interaction,Parents will probably have to get involved,Child-only 
,,,App is designed for joint interaction,App is designed for child-only interaction
,,,,
,,,,
,,,,
,,,,
App is completely gender neutral,App has a few elements which could  be interpreted as preferencing one gender over another but they balence each other out,App has a slight preference to one gender,App has a moderate preference toward one gender,App has a strong preference toward one gender
,Apps is completely gender neutral,App has a few elements which could  be interpreted as preferencing one gender over another but they balence each other out,App has a moderate preference toward one gender,App has a strong preference toward one gender
,,Apps is gender neutral,App has a moderate preference toward one gender,App has a strong preference toward one gender
,,,Apps is gender neutral,App has a gender preference
,,,,
,,,,
App specifically targets speech/ language skills,App targets speech/language skills to some degree,App does not target speech/language skills but could be easily adapted to target those skills,App does not target speech/language skills but with some work the app could be adapted to target those skills,App does not target speech/language skills and could not be adapted to target speech/languagae skills
,App targets speech/language skills,App does not target speech/language skills but could be easily adapted to target those skills,App does not target speech/language skills but with some work the app could be adapted to target those skills,App does not target speech/language skills and could not be adapted to target speech/languagae skills
,,App targets speech/language skills,App does not target speech/language skills but could be adapted to target those skills,App does not target speech/language skills and could not be adapted to target speech/languagae skills
,,,App targets speech/language skills or could easily be adapted to taraget those skills,App does not target speech/language skills and could not be adapted to target those skills
,,,,
,,,,
The app allows users to connect to and share ideas with people from diverse communities across the globe.,"The app allows users to explore diverse cultures from across the globe using authentic pictures, images, and/or texts.",The app makes general references to one or more cultures.,"The app makes reference to diverse cultures, but the information contains some cultural biases.",The app presents stereotypical images and information about cultures.
,"The app allows users to explore or makes references to cultures from across the globe using authentic pictures, images, and/or texts, or direct interactions with culturally diverse individuals",The app makes general references to one or more cultures.,"The app makes reference to diverse cultures, but the information contains some cultural biases.",The app presents stereotypical images and information about cultures.
,,"The app allows users to explore or makes references to cultures from across the globe using authentic pictures, images, and/or texts.",The app is culturally neutral,The app presents stereotypical images and information about cultures.
,,,The app is sensitive of multiple cultures,"The app presents stereotypical
images and
information about cultures."
,,,,
,,,,
